
2024/06/15 (02:46:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/15 (02:46:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/16 (15:21:54) | ===> btop++ v.1.3.2
2024/06/16 (15:21:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/16 (15:21:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/16 (17:26:54) | ===> btop++ v.1.3.2
2024/06/16 (17:26:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/16 (17:26:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/27 (02:32:16) | ===> btop++ v.1.3.2
2024/06/27 (02:32:16) | ERROR: Stall in Runner thread, restarting!

2024/08/14 (17:15:56) | ===> btop++ v.1.3.2
2024/08/14 (17:15:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/14 (17:15:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/29 (12:48:16) | ===> btop++ v.1.3.2
2024/08/29 (12:48:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/29 (12:48:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (11:33:23) | ===> btop++ v.1.3.2
2024/09/02 (11:33:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (11:33:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (12:44:10) | ===> btop++ v.1.3.2
2024/09/02 (12:44:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (12:44:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (12:44:14) | ===> btop++ v.1.3.2
2024/09/02 (12:44:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (12:44:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/03 (13:09:08) | ===> btop++ v.1.3.2
2024/09/03 (13:09:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/03 (13:09:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/03 (14:44:39) | ===> btop++ v.1.3.2
2024/09/03 (14:44:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/03 (14:44:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/03 (15:22:10) | ===> btop++ v.1.3.2
2024/09/03 (15:22:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/03 (15:22:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/03 (15:24:34) | ===> btop++ v.1.3.2
2024/09/03 (15:24:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/03 (15:24:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/03 (15:37:24) | ===> btop++ v.1.3.2
2024/09/03 (15:37:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/03 (15:37:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/03 (15:40:20) | ===> btop++ v.1.3.2
2024/09/03 (15:40:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/03 (15:40:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/04 (10:35:49) | ===> btop++ v.1.3.2
2024/09/04 (10:35:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/04 (10:35:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (09:29:50) | ===> btop++ v.1.3.2
2024/09/09 (09:29:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (09:29:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (09:56:39) | ===> btop++ v.1.3.2
2024/09/09 (09:56:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (09:56:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (09:56:55) | ===> btop++ v.1.3.2
2024/09/09 (09:56:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (09:56:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (14:50:03) | ===> btop++ v.1.3.2
2024/09/09 (14:50:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (14:50:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (15:18:35) | ===> btop++ v.1.3.2
2024/09/09 (15:18:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (15:18:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (18:22:48) | ===> btop++ v.1.3.2
2024/09/09 (18:22:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (18:22:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/10 (11:55:42) | ===> btop++ v.1.3.2
2024/09/10 (11:55:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/10 (11:55:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/10 (17:09:15) | ===> btop++ v.1.3.2
2024/09/10 (17:09:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/10 (17:09:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/11 (12:45:13) | ===> btop++ v.1.3.2
2024/09/11 (12:45:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/11 (12:45:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/12 (15:18:59) | ===> btop++ v.1.3.2
2024/09/12 (15:18:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/12 (15:18:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/12 (16:37:09) | ===> btop++ v.1.3.2
2024/09/12 (16:37:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/12 (16:37:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/13 (14:49:27) | ===> btop++ v.1.3.2
2024/09/13 (14:49:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/13 (14:49:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/13 (15:31:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/13 (15:31:37) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/09/13 (15:52:12) | ===> btop++ v.1.3.2
2024/09/13 (15:52:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/13 (15:52:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/15 (16:05:36) | ===> btop++ v.1.3.2
2024/09/15 (16:05:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
